filename,timeFrame,prediction
test_00.wav,0.0,0.14388986
test_00.wav,0.04,0.38646767
test_00.wav,0.08,0.59113646
test_00.wav,0.12,0.6226663
test_00.wav,0.16,0.7860406
test_00.wav,0.2,0.9454453
test_00.wav,0.24,1.0087856
test_00.wav,0.28,0.9714979
test_00.wav,0.32,0.90196145
test_00.wav,0.36,0.856067
test_00.wav,0.4,0.8282565
test_00.wav,0.44,0.874167
test_00.wav,0.48,1.0787072
test_00.wav,0.52,0.98583645
test_00.wav,0.56,1.0191652
test_00.wav,0.6,1.0529737
test_00.wav,0.64,1.0474939
test_00.wav,0.68,1.061295
test_00.wav,0.72,1.0401293
test_00.wav,0.76,1.1381055
test_00.wav,0.8,1.0554026
test_00.wav,0.84,1.0281473
test_00.wav,0.88,0.9532509
test_00.wav,0.92,0.89558876
test_00.wav,0.96,0.87331027
test_00.wav,1.0,0.8461789
test_00.wav,1.04,0.8297596
test_00.wav,1.08,0.8304733
test_00.wav,1.12,0.838534
test_00.wav,1.16,0.8696389
test_00.wav,1.2,0.9244288
test_00.wav,1.24,0.9739227
test_00.wav,1.28,1.2792467
test_00.wav,1.32,1.3989261
test_00.wav,1.36,1.395683
test_00.wav,1.4,1.5542878
test_00.wav,1.44,1.7774199
test_00.wav,1.48,1.9990458
test_00.wav,1.52,2.200552
test_00.wav,1.56,2.4272106
test_00.wav,1.6,2.6364024
test_00.wav,1.64,2.8474228
test_00.wav,1.68,3.1302345
test_00.wav,1.72,3.2779562
test_00.wav,1.76,3.2741868
test_00.wav,1.8,3.1130326
test_00.wav,1.84,3.1282547
test_00.wav,1.88,3.062146
test_00.wav,1.92,2.9924371
test_00.wav,1.96,2.9346964
test_00.wav,2.0,2.862705
test_00.wav,2.04,2.7923052
test_00.wav,2.08,2.7075646
test_00.wav,2.12,2.4245842
test_00.wav,2.16,2.324721
test_00.wav,2.2,2.1764271
test_00.wav,2.24,2.0826693
test_00.wav,2.28,2.0034633
test_00.wav,2.32,1.9106178
test_00.wav,2.36,1.8924342
test_00.wav,2.4,1.8294585
test_00.wav,2.44,1.6580967
test_00.wav,2.48,1.5746146
test_00.wav,2.52,1.4760071
test_00.wav,2.56,1.4195966
test_00.wav,2.6,1.3536745
test_00.wav,2.64,1.263614
test_00.wav,2.68,1.1735884
test_00.wav,2.72,1.0738071
test_00.wav,2.76,1.009312
test_00.wav,2.8,0.9801929
test_00.wav,2.84,0.9137304
test_00.wav,2.88,0.8595217
test_00.wav,2.92,0.76506805
test_00.wav,2.96,0.658141
test_00.wav,3.0,0.81830627
test_00.wav,3.04,0.75499207
test_00.wav,3.08,0.721318
test_00.wav,3.12,0.7037251
test_00.wav,3.16,0.69797313
test_00.wav,3.2,0.6969559
test_00.wav,3.24,0.71849716
test_00.wav,3.28,0.6121714
test_00.wav,3.32,0.56407213
test_00.wav,3.36,0.67443913
test_00.wav,3.4,0.5814809
test_00.wav,3.44,0.48052818
test_00.wav,3.48,0.412868
test_00.wav,3.52,0.33402872
test_00.wav,3.56,0.28269428
test_00.wav,3.6,0.24539302
test_00.wav,3.64,0.21836005
test_00.wav,3.68,0.24384618
test_00.wav,3.72,0.24565054
test_00.wav,3.76,0.22976999
test_00.wav,3.8,0.2349406
test_00.wav,3.84,0.17293598
test_00.wav,3.88,0.12543651
test_00.wav,3.92,0.119800396
test_00.wav,3.96,0.10353977
test_00.wav,4.0,-0.031554718
test_00.wav,4.04,-0.056325395
test_00.wav,4.08,-0.051100153
test_00.wav,4.12,-0.1269184
test_00.wav,4.16,-0.18020937
test_00.wav,4.2,-0.21843277
test_00.wav,4.24,-0.22377904
test_00.wav,4.28,-0.21803856
test_00.wav,4.32,-0.22635102
test_00.wav,4.36,-0.24383801
test_00.wav,4.4,-0.24957113
test_00.wav,4.44,-0.26309964
test_00.wav,4.48,-0.18880618
test_00.wav,4.52,-0.29040465
test_00.wav,4.56,-0.29058507
test_00.wav,4.6,-0.3675619
test_00.wav,4.64,-0.47841534
test_00.wav,4.68,-0.43431795
test_00.wav,4.72,-0.31653482
test_00.wav,4.76,-0.34462494
test_00.wav,4.8,-0.40283525
test_00.wav,4.84,-0.4292071
test_00.wav,4.88,-0.45325384
test_00.wav,4.92,-0.546195
test_00.wav,4.96,-0.5575129
test_00.wav,5.0,-0.5706357
test_00.wav,5.04,-0.56435823
test_00.wav,5.08,-0.5585764
test_00.wav,5.12,-0.5766512
test_00.wav,5.16,-0.59006613
test_00.wav,5.2,-0.6281594
test_00.wav,5.24,-0.65389866
test_00.wav,5.28,-0.64896023
test_00.wav,5.32,-0.6162796
test_00.wav,5.36,-0.43267485
test_00.wav,5.4,-0.3349561
test_00.wav,5.44,-0.29421508
test_00.wav,5.48,-0.16687152
test_00.wav,5.52,-0.1914014
test_00.wav,5.56,-0.15607458
test_00.wav,5.6,-0.23356861
test_00.wav,5.64,-0.31746873
test_00.wav,5.68,-0.31430218
test_00.wav,5.72,-0.30483374
test_00.wav,5.76,-0.30390632
test_00.wav,5.8,-0.27396193
test_00.wav,5.84,-0.25627208
test_00.wav,5.88,-0.2451612
test_00.wav,5.92,-0.28449616
test_00.wav,5.96,-0.2554665
test_00.wav,6.0,-0.32427415
test_00.wav,6.04,-0.374438
test_00.wav,6.08,-0.38388872
test_00.wav,6.12,-0.42104802
test_00.wav,6.16,-0.41125882
test_00.wav,6.2,-0.4026732
test_00.wav,6.24,-0.38578883
test_00.wav,6.28,-0.36766005
test_00.wav,6.32,-0.5245435
test_00.wav,6.36,-0.529618
test_00.wav,6.4,-0.25079083
test_00.wav,6.44,-0.30528033
test_00.wav,6.48,-0.27432084
test_00.wav,6.52,-0.272107
test_00.wav,6.56,-0.16076416
test_00.wav,6.6,-0.18349047
